[759.4438745512068, 0.0]
[292.46909860543906, 0.0]
[408.60485196508466, 0.0]
[692.2211843116581, 0.0]
[529.7235317139327, 0.0]
[394.22401992067694, 0.0]
[406.03901884168386, 0.0]
[1151.3833318834565, 0.0]
[292.4532850573212, 0.0]
[392.7417430973053, 0.0]
[662.5443340430409, 0.0]
[394.39122766837477, 0.0]
[358.24375871032476, 0.0]
[2378.9671769903416, 0.0]
[392.58154100760817, 0.0]
[291.3515555823594, 0.0]
[1480.9207977282256, 0.0]
[708.0252748934925, 0.0]
[501.72270929463207, 0.0]
[537.8809260392934, 0.0]
[413.3885892855376, 0.0]
[1075.3782391010225, 0.0]
[345.4017077500373, 0.0]
[403.7001228800416, 0.0]
[562.3041729221493, 0.0]
[408.30865024611353, 0.0]
[321.4440916555375, 0.0]
[426.3458892481774, 0.0]
[2193.1515563356133, 0.0]
[662.6722046874836, 0.0]
[391.8576447518915, 0.0]
[452.8247083260119, 0.0]
[586.2361927407235, 0.0]
[428.6455965696275, 0.0]
[455.5571212211996, 0.0]
[404.59686535060405, 0.0]
