[324.5703384613422, 0.0]
[346.9060417868591, 0.0]
[336.80273160325805, 0.0]
[342.53031069508773, 0.0]
[342.3427663694853, 0.0]
[330.6352096973197, 0.0]
[354.2045141329563, 0.0]
[338.6714829856526, 0.0]
[333.42018455976586, 0.0]
[354.0783905077443, 0.0]
[339.57022526451465, 0.0]
[347.58700419686124, 0.0]
[345.0487110586512, 0.0]
[339.97154438866085, 0.0]
[349.44871962719037, 0.0]
[354.26406730125774, 0.0]
[346.58452963137336, 0.0]
[338.7546303518239, 0.0]
[352.83009656112887, 0.0]
[342.5282099662859, 0.0]
[344.6957377331169, 0.0]
[351.0935434918353, 0.0]
[338.4732177539882, 0.0]
[344.5602077256128, 0.0]
[353.47603976498146, 0.0]
[354.06252047785915, 0.0]
[349.87223299914643, 0.0]
[349.6559871905694, 0.0]
[360.48463932729146, 0.0]
[345.57506251083964, 0.0]
[349.0074437362119, 0.0]
[336.421672931471, 0.0]
[336.55553546166317, 0.0]
[341.6307638559494, 0.0]
[339.484742343856, 0.0]
[343.8643354334326, 0.0]
[344.1811444027796, 0.0]
[361.1600711559642, 0.0]
[351.3237838374879, 0.0]
[357.6835223604612, 0.0]
[333.2398773800234, 0.0]
[343.9509713428321, 0.0]
[330.8065056908463, 0.0]
[353.5693401796415, 0.0]
[336.3417396322824, 0.0]
[341.54328537573275, 0.0]
[358.7348000257474, 0.0]
[356.3530797092255, 0.0]
[345.51821057617013, 0.0]
[355.1075773196404, 0.0]
[342.1765075568519, 0.0]
[346.7930032285854, 0.0]
[349.9943559664583, 0.0]
[352.8199430345452, 0.0]
[340.72037571375137, 0.0]
[330.1935961937857, 0.0]
[344.5049769112586, 0.0]
[333.8514649827603, 0.0]
[353.25373201596545, 0.0]
[323.40150094936905, 0.0]
[342.3362735491015, 0.0]
[351.4963609858793, 0.0]
[346.98119573464066, 0.0]
[339.53360990731477, 0.0]
[340.8862661079437, 0.0]
[356.1976009083742, 0.0]
[318.80922515160046, 0.0]
[339.6412590654477, 0.0]
[350.67361745958954, 0.0]
[338.8225931086765, 0.0]
[336.32389157426906, 0.0]
[364.13987583587596, 0.0]
[338.4523066741737, 0.0]
[310.5138289348141, 0.0]
[359.79326362931374, 0.0]
[350.68854435133716, 0.0]
[344.37380059798136, 0.0]
[347.3768945020132, 0.0]
[341.6285351780326, 0.0]
[356.2656687280698, 0.0]
[332.93107764372286, 0.0]
[338.9948454980142, 0.0]
[346.28336227646304, 0.0]
[339.0180762298476, 0.0]
[325.0146043588163, 0.0]
[341.0308344713948, 0.0]
[363.6309089367952, 0.0]
[348.5893692788661, 0.0]
[337.0866452617895, 0.0]
[342.0098419174078, 0.0]
[347.70634152833026, 0.0]
[340.93047691170125, 0.0]
[340.8903082545391, 0.0]
[337.40860197313765, 0.0]
